trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.8775825618903728}",35,0,-164.19488483244552,"{0: 19, 1: 7, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.5403023058681398}",20,0,-121.719970562325,"{0: 8, 1: 9, 2: 1, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.0707372016677029}",30,0,-209.42882141698703,"{0: 6, 1: 16, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.4161468365471424}",25,0,-132.7571341672615,"{0: 9, 1: 9, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.8011436155469337}",25,0,-210.90767872117289,"{0: 10, 1: 6, 2: 5, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.9899924966004454}",20,0,-59.85045165117996,"{0: 10, 1: 6, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9364566872907963}",25,0,-87.18126961476698,"{0: 14, 1: 7, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.6536436208636119}",30,0,-93.32267828180106,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.21079579943077972}",25,0,-108.53245280623166,"{0: 12, 1: 7, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.2836621854632263}",20,0,-56.03620444447613,"{0: 11, 1: 6, 2: 2, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.70866977429126}",20,0,-100.7736685670318,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9601702866503661}",20,0,-125.6642744813063,"{0: 6, 1: 4, 2: 9, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9765876257280235}",30,0,-198.50189233603598,"{0: 18, 1: 2, 2: 5, 3: 2, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.7539022543433046}",20,0,-76.11314079723604,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.3466353178350258}",25,0,-152.0513560186816,"{0: 6, 1: 12, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.14550003380861354}",20,0,-83.92232611042601,"{0: 7, 1: 7, 2: 6, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.6020119026848236}",20,5,-51.54535449109232,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.9111302618846769}",35,0,-80.36842815460138,"{0: 24, 1: 5, 2: 4, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9971721561963784}",25,0,-200.61224555888091,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.8390715290764524}",20,0,-84.26018476949,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.47553692799599256}",20,0,-106.14412372368001,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.004425697988050786}",20,0,-43.209545744921556,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-72.05390406262347,"{0: 10, 1: 7, 2: 2, 3: 0, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-103.67487817928273,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",30,0,-299.4503174610656,"{0: 6, 1: 10, 2: 10, 3: 0, 4: 4}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-112.76765682956648,"{0: 8, 1: 6, 2: 5, 3: 0, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-113.0617785326972,"{0: 12, 1: 7, 2: 5, 3: 0, 4: 1}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-119.81775934070781,"{0: 12, 1: 6, 2: 6, 3: 0, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-110.9563566852853,"{0: 8, 1: 10, 2: 7, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-121.08087400056729,"{0: 7, 1: 5, 2: 7, 3: 0, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-59.689938358259084,"{0: 8, 1: 11, 2: 1, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-139.48312294329935,"{0: 8, 1: 10, 2: 6, 3: 0, 4: 1}",0
