trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",20,0,-114.38847887625651,"{0: 8, 1: 5, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.002, 'e': 0.9980019986673331}",30,0,-121.88576514298975,"{0: 16, 1: 3, 2: 10, 3: 1, 4: 0}",0
3,False,"{'a': 0.002, 'e': 0.9960079893439915}",20,0,-139.51985237174102,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.002, 'e': 0.9940179640539353}",25,0,-74.61746831685096,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.002, 'e': 0.9920319148370607}",25,0,-73.67938466632519,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.002, 'e': 0.9900498337491681}",25,0,-174.97711520718644,"{0: 13, 1: 5, 2: 4, 3: 0, 4: 3}",0
7,False,"{'a': 0.002, 'e': 0.9880717128619305}",20,0,-55.18034249474773,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
8,False,"{'a': 0.002, 'e': 0.9860975442628619}",25,0,-92.66192268059703,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.002, 'e': 0.9841273200552851}",20,0,-63.63411286218055,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
10,False,"{'a': 0.002, 'e': 0.9821610323583008}",30,11,-52.251746691757916,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 0}",1
11,False,"{'a': 0.002, 'e': 0.9801986733067553}",20,0,-117.66260750603136,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
12,False,"{'a': 0.002, 'e': 0.97824023505121}",30,0,-118.99757825847625,"{0: 19, 1: 6, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.002, 'e': 0.9762857097579093}",30,0,-79.20601269294285,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.002, 'e': 0.9743350896087494}",25,0,-178.31258869106153,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
15,False,"{'a': 0.002, 'e': 0.9723883668012469}",30,0,-94.6672519865979,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.002, 'e': 0.9704455335485082}",25,0,-197.6885605803116,"{0: 11, 1: 4, 2: 7, 3: 0, 4: 3}",0
17,False,"{'a': 0.002, 'e': 0.9685065820791976}",35,0,-203.2735158145166,"{0: 19, 1: 4, 2: 9, 3: 0, 4: 3}",0
18,False,"{'a': 0.002, 'e': 0.9665715046375066}",20,0,-76.21087059016867,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
19,False,"{'a': 0.002, 'e': 0.9646402934831231}",25,0,-82.57525605047861,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
20,False,"{'a': 0.002, 'e': 0.9627129408911995}",25,7,-111.72258079851336,"{0: 8, 1: 1, 2: 8, 3: 0, 4: 1}",1
21,False,"{'a': 0.002, 'e': 0.9607894391523232}",20,3,-32.164188141881816,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 0}",1
22,False,"{'a': 0.002, 'e': 0.9588697805724845}",25,0,-119.5528717067395,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
23,False,"{'a': 0.002, 'e': 0.9569539574730467}",25,0,-156.7208925310549,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
24,False,"{'a': 0.002, 'e': 0.9550419621907147}",25,0,-121.2931772584709,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
25,False,"{'a': 0.002, 'e': 0.9531337870775047}",20,0,-111.39511998243646,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
26,False,"{'a': 0.002, 'e': 0.951229424500714}",25,0,-159.96142157978784,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
27,False,"{'a': 0.002, 'e': 0.9493288668428895}",25,0,-54.556054302941305,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
28,False,"{'a': 0.002, 'e': 0.9474321065017983}",20,0,-117.60868270056537,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
