trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.8775825618903728}",20,0,-50.21235569551671,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.5403023058681398}",20,0,-56.47155980871963,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.0707372016677029}",35,0,-239.49227663048657,"{0: 20, 1: 4, 2: 6, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': -0.4161468365471424}",30,0,-169.07756847636904,"{0: 16, 1: 7, 2: 3, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': -0.8011436155469337}",25,0,-152.67117423059364,"{0: 14, 1: 3, 2: 3, 3: 4, 4: 1}",0
6,False,"{'a': 0.5, 'e': -0.9899924966004454}",20,0,-144.68507886291385,"{0: 8, 1: 4, 2: 5, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': -0.9364566872907963}",20,0,-103.96430635664005,"{0: 13, 1: 1, 2: 2, 3: 3, 4: 1}",0
8,False,"{'a': 0.5, 'e': -0.6536436208636119}",20,0,-57.580213998526915,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': -0.21079579943077972}",20,0,-140.12910419583656,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.2836621854632263}",30,16,-78.95464532988879,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.70866977429126}",20,0,-134.61272402604914,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9601702866503661}",25,0,-69.62938228458745,"{0: 14, 1: 6, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9765876257280235}",30,0,-293.1742901634738,"{0: 16, 1: 0, 2: 7, 3: 2, 4: 5}",0
